server_name,tool_name,description,readOnlyHint,destructiveHint,idempotentHint,openWorldHint,input_schema,total_metadata_content
unknown_server,app_get,Get detailed app info including input/output schemas and version history,,,,,"{""properties"": {""app"": {""description"": ""App ref: namespace/name or namespace/name@version"", ""type"": ""string""}}, ""required"": [""app""], ""type"": ""object""}",7
unknown_server,app_list,Search and filter available apps on inference.sh,,,,,"{""properties"": {""category"": {""enum"": [""image"", ""video"", ""audio"", ""text"", ""chat"", ""3d"", ""other""], ""type"": ""string""}, ""cursor"": {""type"": ""string""}, ""limit"": {""default"": 20, ""maximum"": 100, ""type"": ""integer""}, ""query"": {""description"": ""Search by name or description"", ""type"": ""string""}}, ""type"": ""object""}",7
unknown_server,app_run,Run an app on inference.sh. Creates a task that executes the app with the given input.,,,,,"{""properties"": {""app"": {""description"": ""App ref: namespace/name or namespace/name@version"", ""type"": ""string""}, ""function"": {""description"": ""Function name for multi-function apps"", ""type"": ""string""}, ""infrastructure"": {""default"": ""cloud"", ""enum"": [""cloud"", ""private"", ""private_first""], ""type"": ""string""}, ""input"": {""description"": ""App input matching the app's input schema"", ""type"": ""object""}}, ""required"": [""app"", ""input""], ""type"": ""object""}",7
unknown_server,artifact_asset_delete,"Permanently delete one file stored beside an artifact. Anything on the page still pointing at it stops loading, so delete only a file nothing references.",,,,,"{""properties"": {""artifact_id"": {""description"": ""Artifact id, short id, or namespace/name ref"", ""type"": ""string""}, ""asset_id"": {""description"": ""Asset id, from artifact_asset_list"", ""type"": ""string""}}, ""required"": [""artifact_id"", ""asset_id""], ""type"": ""object""}",7
unknown_server,artifact_asset_list,"List the files stored beside an artifact, with the URL each is referenced by and what the artifact is using against its budget.",,,,,"{""properties"": {""artifact_id"": {""description"": ""Artifact id, short id, or namespace/name ref"", ""type"": ""string""}}, ""required"": [""artifact_id""], ""type"": ""object""}",7
unknown_server,artifact_asset_upload,"Store an image, video, audio file, font or PDF beside an artifact and get back the URL its page references it by. Use this instead of a data: URI for anything sizeable: a data URI costs a third more than the bytes it carries, and a page has a 16 MiB ceiling. The page must be published with the ""assets"" capability or its CSP will refuse to load the file. Uploading the same bytes twice returns the asset already there.",,,,,"{""properties"": {""artifact_id"": {""description"": ""Artifact id, short id, or namespace/name ref"", ""type"": ""string""}, ""content"": {""description"": ""The file's bytes, base64-encoded"", ""type"": ""string""}, ""content_type"": {""description"": ""MIME type; guessed from the filename when omitted"", ""type"": ""string""}, ""filename"": {""description"": ""What to call the file, e.g. chart.png"", ""type"": ""string""}}, ""required"": [""artifact_id"", ""content""], ""type"": ""object""}",7
unknown_server,artifact_comments,"Read the comment threads people left on an artifact. Each thread says whether it was sent to you: you may reply to and resolve those, and only those. Threads not sent to you are other people's conversations — read them for context, mention them to the user if they need action, but do not answer them.",,,,,"{""properties"": {""artifact_id"": {""description"": ""Artifact id, short id, or namespace/name ref"", ""type"": ""string""}}, ""required"": [""artifact_id""], ""type"": ""object""}",7
unknown_server,artifact_get,"Get an artifact's metadata and page source by id, short id, or namespace/name[@version]",,,,,"{""properties"": {""artifact_id"": {""description"": ""Artifact id, short id, or namespace/name ref"", ""type"": ""string""}, ""include_content"": {""default"": true, ""type"": ""boolean""}, ""version"": {""description"": ""Optional version id or short id (default latest)"", ""type"": ""string""}}, ""required"": [""artifact_id""], ""type"": ""object""}",7
unknown_server,artifact_guidance,"Everything needed to write a good artifact page, assembled in one call: the page contract plus the skills that carry the detail, resolved from the registry so they are always the current version. Call this BEFORE writing a page. Narrow it with topics; omit topics for all of them.",,,,,"{""properties"": {""topics"": {""description"": ""Which parts to include. \""design\"" is always worth having; \""capabilities\"" when the page takes input, remembers anything or knows its viewer; \""diagrams\"" when it has a flow or chart. Omit for all three."", ""items"": {""enum"": [""design"", ""capabilities"", ""diagrams""], ""type"": ""string""}, ""type"": ""array""}}, ""type"": ""object""}",7
unknown_server,artifact_list,"List artifacts you own or that were shared with you, newest first",,,,,"{""properties"": {""cursor"": {""type"": ""string""}, ""limit"": {""default"": 20, ""maximum"": 50, ""type"": ""integer""}, ""search"": {""description"": ""Search over title and description"", ""type"": ""string""}}, ""type"": ""object""}",7
